건물,호선,역,주소
스타벅스,2.0,까치산,서울특별시 강서구 강서로 13길 3
다이소,2.0,까치산,서울특별시 강서구 화곡1동 343-58
이디야,2.0,까치산,서울특별시 강서구 화곡동 349-15
올리브영,2.0,까치산,서울특별시 강서구 강서로13길 3
스타벅스,2.0,신정네거리,서울특별시 양천구 신정동 981-15
다이소,2.0,신정네거리,서울특별시 양천구 신월로 291
이디야,2.0,신정네거리,서울특별시 양천구 신정동 922-17
올리브영,2.0,신정네거리,신정동 1032-11번지 양천구 서울특별시 KR
스타벅스,2.0,양천구청,서울특별시 양천구 목동 923
다이소,2.0,양천구청,서울특별시 양천구 신정동 오목로 238 LOND사옥
이디야,2.0,양천구청,서울특별시 양천구 신정동 323-16
올리브영,2.0,양천구청,서울특별시 양천구 신정동 목동동로 73
스타벅스,2.0,도림천,서울특별시 구로구 신도림동 413-9
다이소,2.0,도림천,서울특별시 구로구 신도림동 경인로 662 디큐브시티
이디야,2.0,도림천,서울특별시 구로구 신도림동 신도림로 65 101호
올리브영,2.0,도림천,서울특별시 구로구 신도림동 360-51
스타벅스,2.0,신도림,서울특별시 구로구 신도림동 413-9
다이소,2.0,신도림,서울특별시 구로구 신도림동 경인로 662 디큐브시티
이디야,2.0,신도림,서울특별시 구로구 신도림 테크노마트 1층
올리브영,2.0,신도림,서울특별시 구로구 신도림동 360-51
스타벅스,2.0,문래,서울특별시 영등포구 문래동3가 55-5
다이소,2.0,문래,서울특별시 영등포구 당산로 42
이디야,2.0,문래,서울특별시 영등포구 문래동3가
올리브영,2.0,문래,서울특별시 영등포구 문래동6가 5
스타벅스,2.0,영등포구청,"389-7 KR 서울특별시 영등포구 당산동3가 393, 389-2"
다이소,2.0,영등포구청,서울특별시 영등포구 당산동5가 양평로 49 대림빌딩
이디야,2.0,영등포구청,서울특별시 영등포구 당산동3가 당산로 110
올리브영,2.0,영등포구청,서울특별시 영등포구 당산동5가
스타벅스,2.0,당산,서울특별시 영등포구 당산로 231
다이소,2.0,당산,서울특별시 영등포구 당산동5가 양평로 49 대림빌딩
이디야,2.0,당산,당산동5가 11-33번지 당산디오빌 103-4호 영등포구 서울특별시 KR
올리브영,2.0,당산,서울특별시 영등포구 당산동5가
스타벅스,2.0,합정,서울특별시 마포구 합정동 월드컵로1길 14
다이소,2.0,합정,서울특별시 마포구 합정동 독막로 33-1
이디야,2.0,합정,서울특별시 마포구 독막로2길 5
올리브영,2.0,합정,서울특별시 마포구 합정동 391-19
스타벅스,2.0,홍대입구,서울특별시 마포구 양화로 125
다이소,2.0,홍대입구,서울특별시 마포구 양화로 182
이디야,2.0,홍대입구,서울특별시 마포구 서교동 351-5
올리브영,2.0,홍대입구,서울특별시 마포구 동교동 양화로 156 엘지 팰리스
스타벅스,2.0,신촌,서울특별시 서대문구 신촌로 73
다이소,2.0,신촌,서울특별시 마포구 노고산동 신촌로 90 신촌역
이디야,2.0,신촌,서울특별시 서대문구 창천동 4-1
올리브영,2.0,신촌,서울특별시 서대문구 신촌로 121
스타벅스,2.0,이대,서울특별시 서대문구 이화여대길 34
다이소,2.0,이대,서울특별시 서대문구 신촌로 183
이디야,2.0,이대,서울특별시 서대문구 창천동 4-1
올리브영,2.0,이대,서울특별시 서대문구 이화여대길 43
스타벅스,2.0,아현,서울특별시 서대문구 신촌로35길 10
다이소,2.0,아현,서울특별시 마포구 아현동 신촌로 270
이디야,2.0,아현,서울특별시 서대문구 북아현동 1015번지 이편한세상신촌4단지 1층 110호
올리브영,2.0,아현,서울특별시 마포구 아현동 738
스타벅스,2.0,충정로,서울특별시 서대문구 충정로3가 95-1
다이소,2.0,충정로,서울특별시 마포구 아현동 신촌로 270
이디야,2.0,충정로,서울특별시 서대문구 충정로3가 경기대로 26-26
올리브영,2.0,충정로,서울특별시 중구 세종대로16길 1
스타벅스,2.0,시청,서울특별시 중구 을지로1가 50 삼성 화재 삼성 빌딩 1 층
다이소,2.0,시청,서울특별시 중구 세종대로 광학빌딩
이디야,2.0,시청,서울특별시 중구 무교동 세종대로20길 23
올리브영,2.0,시청,서울특별시 중구 세종대로16길 1
스타벅스,2.0,을지로입구,서울특별시 중구 을지로 50
다이소,2.0,을지로입구,서울특별시 중구 명동길 43
이디야,2.0,을지로입구,서울특별시 중구 명동 다동길 46
올리브영,2.0,을지로입구,서울특별시 중구 명동3길 36
스타벅스,2.0,을지로3가,서울특별시 중구 수표로 34
다이소,2.0,을지로3가,서울특별시 중구 명동길 43
이디야,2.0,을지로3가,서울특별시 중구 수표로 45
올리브영,2.0,을지로3가,서울특별시 중구 명동3길 36
스타벅스,2.0,을지로4가,서울특별시 중구 을지로 170
다이소,2.0,을지로4가,서울특별시 종로구 창신동 율곡로 309
이디야,2.0,을지로4가,서울특별시 중구 수표로 45
올리브영,2.0,을지로4가,서울특별시 중구 명동3길 36
스타벅스,2.0,동역사,서울특별시 중구 장충단로 229
다이소,2.0,동역사,서울특별시 종로구 창신동 율곡로 309
이디야,2.0,동역사,광희동1가 189-2번지 1층 중구 서울특별시 KR
올리브영,2.0,동역사,서울특별시 중구 장충단로 251
스타벅스,2.0,신당,서울특별시 중구 다산로 258
